dataset,fold,ecr_flag,ecr_overlap,eoc,tbvr
assist2012,0,0.0,0.0,1.4236835107905974,0.0
assist2012,1,0.0,0.0,1.4229218058471151,0.0
assist2012,2,0.0,0.0,1.4213817041395915,0.0
junyi,0,0.0,0.99953531598513,1.449563835961827,0.1766208125296315
junyi,1,0.0,0.9995305164319248,1.449577538728316,0.1752980279225565
junyi,2,0.0,0.9995361781076066,1.449071248615655,0.1764382556380915
synthetic_c2,0,0.0,1.0,0.0,0.7333333333333333
synthetic_c2,1,0.0,1.0,0.0,0.7333333333333333
synthetic_c2,2,0.0,1.0,0.0,0.7333333333333333
synthetic_c5,0,0.0,1.0,0.0,0.1333333333333333
synthetic_c5,1,0.0,1.0,0.0,0.1333333333333333
synthetic_c5,2,0.0,1.0,0.0,0.1333333333333333
xes3g5m,0,0.0,0.9881967213114754,0.11079781825762708,0.7555402751506889
xes3g5m,1,0.0,0.9880952380952381,0.10132438893012785,0.7565579536571521
xes3g5m,2,0.0,0.984354628422425,0.11253004441620999,0.7568677571893108
