dataset,fold,ecr_flag,ecr_overlap,eoc,tbvr
assist2012,0,0.0,1.0,1.4236827643965906,0.2023620329687451
assist2012,1,0.0,1.0,1.422920503203256,0.2005951314937525
assist2012,2,0.0,1.0,1.421381404217861,0.2009465602187117
junyi,0,0.0,0.99953531598513,1.449563835961827,0.1766208125296315
junyi,1,0.0,0.9995305164319248,1.449577538728316,0.1752980279225565
junyi,2,0.0,0.9995361781076066,1.449071248615655,0.1764382556380915
synthetic_c2,0,0.0,1.0,0.0,0.7333333333333333
synthetic_c2,1,0.0,1.0,0.0,0.7333333333333333
synthetic_c2,2,0.0,1.0,0.0,0.7333333333333333
synthetic_c5,0,0.0,1.0,0.0,0.1333333333333333
synthetic_c5,1,0.0,1.0,0.0,0.1333333333333333
synthetic_c5,2,0.0,1.0,0.0,0.1333333333333333
xes3g5m,0,0.0,0.9868073878627969,1.4271941569751156,0.7568047354756005
xes3g5m,1,0.0,0.9934167215273206,1.41727349866427,0.7558482246802892
xes3g5m,2,0.0,0.9869024230517355,1.417883515155216,0.7555512615780071
